英雄联盟,1653017,斗鱼第一颜值剑圣,东东要努力呀,2.8万
英雄联盟,833292,英雄联盟维护先种菜,爱吃辣椒的七彩琉璃兔,2.8万
英雄联盟,7376917,【熬夜精英】那是太阳吗？,兔斯水,2.7万
英雄联盟,7896107,轻点轻点 别打了,北笙男刀,2.7万
英雄联盟,8174711,陪老板上分哈哈哈,广垠不是广根,2.7万
英雄联盟,625745,祖安：寻找脾气好的队友~,一步遥遥OuO,2.7万
英雄联盟,7865601,四川第一亚索征战峡谷之巅上分,清风亚索king,2.7万
英雄联盟,5795082,感谢遇见，不负陪伴,奶茶悠,2.7万
英雄联盟,7395292,【电一】有人上车车嘛 有人办卡卡嘛,西行寺萌萌子,2.7万
英雄联盟,7559510,萌新COD，在线被爆锤,炫酷法拉利风驰电掣,2.6万
英雄联盟,8264630,暗影岛白金排位 Showtime,逸凡丶moke,2.6万
英雄联盟,5699978,少萝音桐妹在线发车,吃可爱长大的Miki,2.6万
英雄联盟,3011797,山东小姐姐:今天是下路queen♡♡♡,晓彤彤彤彤彤彤丶,2.6万
英雄联盟,2853505,和发小一起玩绝地，我第一圣骑士~,冉氏娱乐,2.6万
英雄联盟,7856068,我菜汉三又回来了..,丶小菜心丶,2.5万
英雄联盟,7872244,今天不晋级 不下播！,小野纯Quinlivan,2.5万
英雄联盟,548401,这货是波比？,波比腿短锤子长i,2.5万
英雄联盟,7928297,一区甜心陪伴你~,甜心怡宝cc,2.5万
英雄联盟,6554831,赵信加强，斗鱼最细信教学~,老胡的赵信有丶C,2.5万
英雄联盟,4796639,人生就是一场漫长的自娱自乐,星月铭,2.5万
英雄联盟,6947924,垄断斗鱼餐饮业的男人来了,撅腚鸭,2.5万
英雄联盟,5638504,新版草人教学,安旭龙,2.5万
英雄联盟,7856068,我菜汉三又回来了..,丶小菜心丶,2.5万
英雄联盟,7872244,今天不晋级 不下播！,小野纯Quinlivan,2.5万
英雄联盟,548401,这货是波比？,波比腿短锤子长i,2.5万
英雄联盟,7928297,一区甜心陪伴你~,甜心怡宝cc,2.5万
英雄联盟,6554831,赵信加强，斗鱼最细信教学~,老胡的赵信有丶C,2.5万
英雄联盟,4796639,人生就是一场漫长的自娱自乐,星月铭,2.5万
英雄联盟,6947924,垄断斗鱼餐饮业的男人来了,撅腚鸭,2.5万
英雄联盟,5638504,新版草人教学,安旭龙,2.5万
英雄联盟,2258304,没有感觉到？明灯天胡D牌,我请你窝尿,2.4万
英雄联盟,4175964,看完必上钻！男刀皎月屠杀专场！,阿阿阿阿力丶,2.3万
英雄联盟,7984404,有没有老板看看我用礼物砸死我求求了,随缘陳长生,2.3万
英雄联盟,8454386,今天是连麦的一天呢,MC也是也是,2.3万
英雄联盟,7813626,国服第一中单派克？不，我是整活王,一只小小风ovo,2.3万
英雄联盟,7124761,舒服向/安静交流打游戏/个性主播,一只妮可可可,2.3万
英雄联盟,5624307,打野里面请，难顶的钻石野区,飞龙帆,2.3万
英雄联盟,3935904,电一大乱斗一起来嘛 3935904,李梓沐Ruby,2.3万
英雄联盟,5140793,82   弱弱的想渡劫,小祖宗雅,2.3万
英雄联盟,6,《电子竞技在中国》第三集,斗鱼官方直播,2.3万
英雄联盟,4795067,国服第一螳螂，野区思路,超级赛亚人凯隐,2.3万
英雄联盟,3648011,斗鱼枪王：今日峡谷之巅,天神男枪,2.2万
英雄联盟,7899710,黑色玫瑰区花在此~,柠檬三岁半i,2.2万
英雄联盟,7656268,奇亚娜：K头女皇的血条消失术！,丨丨依山丶,2.2万
英雄联盟,7612427,日服，ようこそ,kviii凯,2.2万
英雄联盟,7044643,莫得感情的小可爱,傲娇超甜hoho,2.1万
英雄联盟,6860627,杰森诺手 ：恢复状态中,杰森诺手,2.1万
英雄联盟,5461915,能躺为什么要当C,你痴哥,2.1万
英雄联盟,2331566,艾欧尼亚有车位哟.陪你在线快乐翻车..,文文酱吖,2.1万
英雄联盟,4045096,王者亚索手把手教你快乐~,骚浪亚索,2.1万
英雄联盟,5109249,夏日空姐的陷阱,铁铁铁铁铁铁头娃,2.0万
英雄联盟,4720950,上钻导师：打野人马看完必上钻,国服打野唐皓天,2.0万
英雄联盟,1590324,一区王者宗师局,一叶鑫之助,2.0万
英雄联盟,8029007,S3云顶研究一下,布袋哒,2.0万
英雄联盟,1275697,卤小台：摸爬滚打上波砖。,坴小台,1.9万
英雄联盟,6654247,实况Faker上单Roach打野Cuzz,LCK瓜皮OB飞科,1.9万
英雄联盟,5953587,对面的臭弟弟等着被锤爆吧！,奶金瑶,1.9万
英雄联盟,7887975,黑色白金~,ggg233,1.9万
英雄联盟,5031243,面对疾风剑豪的恐惧,贱阿豪,1.9万
英雄联盟,5760223,重庆主播 艾欧尼亚 黑色玫瑰,Yao二三,1.9万
英雄联盟,522424,4K20M超高清直播【电视投影专用】,超高清赛事专用直播间,1.9万
英雄联盟,6472309,今天你吃饱了嘛  黑色玫瑰下饭局,王姿怡,1.9万
英雄联盟,8202818,打号了打号了,逸年菌,1.9万
英雄联盟,5283842,进来看破败刀妹的伤害,竹子cz,1.9万
英雄联盟,838936,声优熙：眼睛发炎了，播一会,熙宝兒,1.9万
英雄联盟,6233617,艾我克以吗  艾克king,新一艾克,1.9万
英雄联盟,7763713,老吃鸡没意思啊~~~,魔教可儿只爱黑白,1.9万
英雄联盟,4020510,璐璐 （风女 娜美 奶妈）,花涩迷人,1.9万
英雄联盟,7480757,上赛季峡谷宗师 VN卡莎秀 大家快来看,正在努力减肥的南胖子,1.8万
英雄联盟,588642,黑色玫瑰，想赢的佛系铁分怪,我不吃鱼吖,1.8万
英雄联盟,915386,挑战全英雄七级狗牌,西安王力宏yohom,1.8万
英雄联盟,3832674,峡谷传说：逆风不败+皇子正确教学。,漆杠医,1.8万
英雄联盟,7372149,自信的万场鳄鱼操作怪,是梓钦阿,1.8万
英雄联盟,7502476,AD天使在线蹦迪,倒数第二只皮卡丘,1.8万
英雄联盟,539455,铅笔：艾欧尼亚钻石,WG丶铅笔,1.8万
英雄联盟,8190475,开始了开始了 8190475,一条憨鱼上王者,1.8万
英雄联盟,7910855,网二雨妹在线K头,你雨妹,1.8万
英雄联盟,239608,狮子专场：峡谷钻石局教学,MQ丶五月末,1.8万
英雄联盟,7250220,斗鱼无双赵信力争第一赵信各种逆风顺风操作,无双赵信,1.8万
英雄联盟,8116388,打野戴安娜出击(*╹▽╹*),是阿荀耶,1.8万
英雄联盟,5341114,期待第一个给我超火的老板,狗随风真的不狗,1.8万
英雄联盟,7433504,美服余小B（冲击砖1）,美服第一渣男,1.7万
英雄联盟,6291845,无聊中，刷刷代币玩玩！！,Lovely安琪儿,1.7万
英雄联盟,8456376,天涯：状态拉满 刀妹卡萨丁细节教学,iTya天涯,1.7万
英雄联盟,4678252,啥都不管，两级反转！,英雄联盟凌风霞,1.7万
英雄联盟,771176,专业上钻，值得信赖！,ML丶米尔蛮王,1.7万
英雄联盟,8442263,无聊听听dj吧,Shxr6,1.7万
英雄联盟,7117401,中单皎月超神五杀上钻石教学,叫我苏扶就好啦,1.7万
英雄联盟,6733684,宝蓝baolan宁ning，热狗2台,BiG热狗OB专属宝蓝阿水,1.7万
英雄联盟,7100196,归期锐雯：我可算回来了,在下归期,1.7万
英雄联盟,8325724,峡谷之巅提升自己,金松哥哥,1.7万
英雄联盟,7855393,蓝色一望无际，我的你在哪里？,小荔月,1.6万
英雄联盟,6209183,一进门就看见常威在打来福,森屿微央丷,1.6万
英雄联盟,229563,黑玫：组排~,宇宙无敌小乌龟,1.6万
英雄联盟,7717627,西凉:国服最帅豹女主播！,西凉大魔王丶,1.6万
英雄联盟,5025699,网络qm爆炸只能打克隆了,影影ovo,1.6万
英雄联盟,8434581,中单派克 猪皮,猪皮丶派克,1.6万
英雄联盟,7541488,技术不够，颜值来凑 7541488,狗十三QAQ,1.6万
英雄联盟,5227894,别让我逮到峡谷养爹人嗷,最可爱的圆,1.6万
英雄联盟,7261677,家住敦煌莫高窟，壁画那么多,狗妹aa,1.6万
英雄联盟,6453892,上个钻石要经历多少喷子,甜音儿,1.6万
英雄联盟,5259998,豹女岩雀教学。,peanut与阿二,1.6万
英雄联盟,1081721,36岁老塞恩勇闯峡谷,玩偶大叔,1.6万
英雄联盟,8309128,万场剑圣，国服顶尖剑圣。一打九,Empty馨,1.6万
英雄联盟,614051,p神：千分王者。包C王614051,六布斯6bush,1.6万
英雄联盟,1612214,天神下饭：搞笑的锐萌萌,刘奋解说之顶尖瑞文,1.5万
英雄联盟,7610259,峡谷拳皇降临凡间，八神归位,流止无痕,1.5万
英雄联盟,785644,【推荐位】菜鸡中的战斗鸡,河北主播丶丸子,1.5万
英雄联盟,7231959,艾欧尼亚の辰姑娘,一只可爱的小姑娘,1.5万
英雄联盟,4512015,今日满汉全席 4512015,YW丶小脑斧,1.5万
英雄联盟,1565410,黑色玫瑰 新版猴子,软妹手持金箍棒,1.5万
英雄联盟,7505024,弹簧侠 吸血鬼专场屠杀病友局~,弹簧侠,1.5万
英雄联盟,6958467,上单霸主德莱厄斯！，没看到吃巨亏呀！！,那这一斧就叫断魂,1.5万
英雄联盟,7549622,我是你心目中的国服第一吗？？,思程it,1.5万
英雄联盟,5080999,炼金教学战必胜攻必取,杨晨炼金,1.5万
英雄联盟,4374231,狐狸回来了，跟狐狸双排,世界第一婕拉丶花神,1.4万
英雄联盟,2816804,Q不狠站不稳 美服战神花心海,花花世界花心海,1.4万
英雄联盟,1970683,飞机陪玩一天24小时,甩锅酒鬼,1.4万
英雄联盟,7165607,丛刃流派克：九折水瓶。,学习0o0,1.4万
英雄联盟,6905383,新开播希望大家多关注一波,只想用辅助保护你,1.4万
英雄联盟,7504991,心平气和不生气,温柔迷人糖糖吖,1.4万
英雄联盟,8383680,克隆克隆大乱斗 黑色小厨神！！,远仔很猛,1.4万
英雄联盟,4734867,不会真有声音好听又能乱杀的猛男叭,Ks树,1.4万
英雄联盟,2431573,只为妖姬，再次绽放,不愿服输的张小健丶,1.4万
英雄联盟,7487582,一区打个资格号从零开始,雨天丶解脱者,1.4万
英雄联盟,8500110,阿毛是大帅比的直播间,s3老兵打野回归爬分,1.4万
英雄联盟,7781316,【全能子卿】快乐的极地大乱斗,全能子卿,1.4万
英雄联盟,1737702,岩雀King  一区钻石皇帝,我是初久我为自己代言,1.4万
英雄联盟,1974434,虎千代锤石：打会小号,虎千代锤石,1.4万
英雄联盟,6876974,真水：气抖冷咱们欺负黄金去,我是真水1,1.4万
英雄联盟,7958334,郭亚索：小郭常规上分,郭旭超gxc,1.3万
英雄联盟,8069060,广西皎月女神！,表白黛安娜,1.3万
英雄联盟,8260710,皮城最下饭的召唤师,我的一个方丈老铁哈,1.3万
英雄联盟,7764946,野区教学 学到不上分你找我,小夏神1,1.3万
英雄联盟,7820343,每天都要有战斗精神,TFF超撸,1.3万
英雄联盟,936504,加里奥神：3年王牌加里奥教学！！！,吃货丶权爷,1.3万
英雄联盟,5735391,黑色找一个师傅带上分,胖七妹,1.3万
英雄联盟,4769097,峡谷之巅冲王者 ღ,第一霞,1.3万
英雄联盟,760871,【全能打野】在线等待有缘人。,Destiny丶阿烈,1.3万
英雄联盟,619632,10190场中单艾克 艾克人柱力,浅浅Ekko,1.3万
英雄联盟,2507309,打野奇亚娜无伤打野.无限隐身,面条599,1.3万
英雄联盟,1459198,下路谁都能欺负，练习中单吧,傲娇筱筱灬,1.3万
英雄联盟,8234636,玩会云顶晚上单双,solitude飞飞,1.3万
英雄联盟,6207647,宿昔-低分段上分教学，包上钻石！,宿昔啾,1.3万
英雄联盟,4378819,关注上分。肩负娱乐效果的主播,一只马瓜皮,1.3万
英雄联盟,623510,黑色玫瑰娱乐娱乐 623510,电竞56开,1.3万
英雄联盟,8031910,一捅到底的上单！！！,威海白将军,1.3万
英雄联盟,8177361,江湖刘一手,動感超人53941,1.3万
