G_name,RoomID,RoomName,BlogName,HotPoint
英雄联盟,1970683,飞机陪玩一天24小时,甩锅酒鬼,34000.0
英雄联盟,1503792,✿艾欧尼亚✿打盟盟不啦~~,甜雨n,34000.0
英雄联盟,4378819,娱乐拉满。关注上分！,一只马瓜皮,35000.0
英雄联盟,2217169,河南郑州第一卡萨丁,温文尔雅的BUG,35000.0
英雄联盟,5461915,中单皇子恰一波分,你痴哥,34000.0
英雄联盟,3607695,第一暴力盲僧，k头猛男,奥力给丶暮城,34000.0
英雄联盟,4717781,阿图：猛男寡妇上线,阿图不当人,34000.0
英雄联盟,1704005,喜欢软的（我是说辅助,珊兔ovo,34000.0
英雄联盟,1970683,飞机陪玩一天24小时,甩锅酒鬼,34000.0
英雄联盟,1503792,✿艾欧尼亚✿打盟盟不啦~~,甜雨n,34000.0
英雄联盟,6552620,三毛：德莱文峡谷之巅最新套路出装,毛三刀丶,26000.0
英雄联盟,2853505,上单腕豪 盖伦 猴子 铁男 我们是莽夫！,冉氏娱乐,25000.0
英雄联盟,3554170,网一：克隆模式  带你体验快乐,蛋蛋风女,25000.0
英雄联盟,5058883,佐伊king 钻石分段乱杀,T1丶麻瓜杭,25000.0
英雄联盟,548401,这货是波比？,波比腿短锤子长i,25000.0
英雄联盟,7687918,憨贝贝2.0直播间美服LOL快乐死亡列车,贝贝不粘锅,25000.0
英雄联盟,1919020,会魔法的少女厄加特,我是小蕴蕴吖,25000.0
英雄联盟,3935904,电一人美声甜技术好 3935904,李梓沐Ruby,25000.0
英雄联盟,7693441,一位不顾形象的妹妹OvO,温柔的狸狸,25000.0
英雄联盟,7984404,推荐位啦兄弟们来看看可怜老男枪,随缘陳长生,25000.0
英雄联盟,7133374,峡谷之巅33岁老年人冲王者,87年的colorway,25000.0
英雄联盟,1282143,黑色玫瑰 免费上车 东北小姐姐,萌貓儿,24000.0
英雄联盟,7665333,铁憨憨女玩家的菜鸡之旅~,好吃的小云朵,24000.0
英雄联盟,6,《电子竞技在中国》第四集,斗鱼官方直播,24000.0
英雄联盟,1942475,来快乐吖 有车位~,初心不悔丶丶,23000.0
英雄联盟,7965816,新人主播等你上车,一个月亮呀,23000.0
英雄联盟,952364,唐果丨黑色玫瑰喔~,唐果有点甜,23000.0
英雄联盟,7909334,此生只得一软软,Ms软萌,23000.0
英雄联盟,4873644,网一：周一快乐,慕姐姐c,23000.0
英雄联盟,81866,国服单排。,辣条锐雯s,22000.0
英雄联盟,8354027,办卡开黑全区有号,包包酱ya,22000.0
英雄联盟,7127682,美服吸血鬼卡萨丁,英雄联盟魔德,22000.0
英雄联盟,6860627,杰森诺手 ：恢复状态中,杰森诺手,22000.0
英雄联盟,6200665,这钵 这钵是肉蛋葱鸡,灬冷陌QAQ,21000.0
英雄联盟,6654247,实况Faker上单Roach打野Cuzz,LCK瓜皮OB飞科,20000.0
